type,sensor_id,description,severity,evidence,signatures,confidence,likelihood,posterior_probability,classification_method
C5_high_volume,CE,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,CP,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,CP,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,CP,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,SE,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C2_poor_placement,SE,High inconsistency in 1 activities,high,"{'inconsistency_score': np.float64(2.036546176826675), 'affected_activities': ['System_Initialization']}","{'raw_data': 'inconsistent_readings', 'events': 'concurrent_events', 'process_model': 'parallel_branches'}",0.6788487256088916,0.3,0.0703125,bayesian_inference
C3_sensor_noise,SE,2546 outliers (19.2% of readings),high,"{'outlier_count': 2546, 'outlier_ratio': 0.19200603318250378, 'outlier_bounds': [np.float64(44.455), np.float64(84.319)]}","{'raw_data': 'high_variance', 'events': 'erroneous_events', 'process_model': 'spaghetti_model'}",0.38401206636500756,0.3,0.15517241379310345,bayesian_inference
C3_sensor_noise,SE,High noise level: 0.358,medium,"{'noise_level': np.float64(0.35786060335977504), 'signal_to_noise_ratio': np.float64(2.181394309634148)}","{'raw_data': 'noisy_signal', 'events': 'incorrect_labels', 'process_model': 'complex_paths'}",0.35786060335977504,0.25,0.12500000000000003,bayesian_inference
C4_range_too_small,SE,Potential clipping at value 0.0,medium,"{'clipped_value': np.float64(0.0), 'clipped_ratio': np.float64(0.13333333333333333), 'clipped_count': np.int64(1768)}","{'raw_data': 'clipped_values', 'events': 'missing_phases', 'process_model': 'incomplete_model'}",0.26666666666666666,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,SE,Limited dynamic range: 100.41,medium,"{'value_range': np.float64(100.41), 'range_to_std_ratio': np.float64(3.9450295780466207)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,SE,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,SE,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
