type,sensor,count,percentage,outlier_count,outlier_indices,mote_id,gap_count,max_gap_seconds
sampling_gap,,,42.857142857142854,,,7.0,12.0,888577.946938
sampling_gap,,,28.000000000000004,,,8.0,7.0,1046368.987854
sampling_gap,,,24.0,,,9.0,6.0,901614.762067
sampling_gap,,,40.0,,,11.0,8.0,1587552.258936
sampling_gap,,,26.31578947368421,,,13.0,5.0,1257488.044145
sampling_gap,,,40.0,,,14.0,8.0,2356194.985229
sampling_gap,,,29.166666666666668,,,15.0,7.0,1499663.509883
sampling_gap,,,29.629629629629626,,,16.0,8.0,1389521.639843
sampling_gap,,,36.84210526315789,,,17.0,7.0,1477409.502239
sampling_gap,,,21.21212121212121,,,20.0,7.0,1472798.086349
sampling_gap,,,21.62162162162162,,,21.0,8.0,1278254.033815
sampling_gap,,,30.303030303030305,,,22.0,10.0,1074840.604484
sampling_gap,,,21.052631578947366,,,25.0,8.0,1049473.218139
sampling_gap,,,20.51282051282051,,,2463.0,8.0,994413.594563
sampling_gap,,,25.0,,,2471.0,9.0,1640263.125546
sampling_gap,,,27.027027027027028,,,2480.0,10.0,1640493.646243
sampling_gap,,,22.22222222222222,,,2481.0,8.0,1640258.211399
sampling_gap,,,22.5,,,2487.0,9.0,1640354.269705
sampling_gap,,,20.930232558139537,,,2494.0,9.0,808666.734975
sampling_gap,,,20.51282051282051,,,2506.0,8.0,994413.736584
sampling_gap,,,23.076923076923077,,,2548.0,9.0,1640411.349242
sampling_gap,,,23.076923076923077,,,2552.0,9.0,1640407.264247
sampling_gap,,,20.51282051282051,,,2557.0,8.0,1640356.220847
sampling_gap,,,22.5,,,2559.0,9.0,1640492.382226
sampling_gap,,,21.428571428571427,,,2561.0,9.0,1640358.204162
sampling_gap,,,21.62162162162162,,,2586.0,8.0,1640271.530457
sampling_gap,,,21.428571428571427,,,2596.0,9.0,1640497.842825
sampling_gap,,,22.857142857142858,,,2598.0,8.0,1640258.557991
sampling_gap,,,21.62162162162162,,,2611.0,8.0,994388.793553
sampling_gap,,,21.428571428571427,,,2630.0,9.0,1640259.478953
sampling_gap,,,21.951219512195124,,,2640.0,9.0,1640255.631013
sampling_gap,,,22.5,,,2641.0,9.0,1640356.171724
sampling_gap,,,23.684210526315788,,,2678.0,9.0,994415.68176
sampling_gap,,,21.62162162162162,,,2693.0,8.0,1640495.580123
sampling_gap,,,26.190476190476193,,,2700.0,11.0,1640251.374158
sampling_gap,,,25.0,,,2703.0,9.0,1640260.5027
sampling_gap,,,26.31578947368421,,,2704.0,10.0,1640263.926427
sampling_gap,,,23.076923076923077,,,2718.0,9.0,994413.606174
sampling_gap,,,21.052631578947366,,,2721.0,8.0,1640260.992405
sampling_gap,,,23.684210526315788,,,2723.0,9.0,1640404.559471
sampling_gap,,,24.390243902439025,,,2743.0,10.0,994415.873967
sampling_gap,,,28.57142857142857,,,2755.0,10.0,994421.446517
sampling_gap,,,21.62162162162162,,,2756.0,8.0,994425.851811
sampling_gap,,,24.390243902439025,,,2757.0,10.0,1640408.569481
sampling_gap,,,20.454545454545457,,,2762.0,9.0,1640524.629386
sampling_gap,,,20.51282051282051,,,2780.0,8.0,1640402.477223
sampling_gap,,,21.052631578947366,,,2785.0,8.0,1640267.124503
sampling_gap,,,23.809523809523807,,,2788.0,10.0,1640477.136115
sampling_gap,,,20.51282051282051,,,2820.0,8.0,1640257.393432
sampling_gap,,,22.5,,,2828.0,9.0,1640262.58731
sampling_gap,,,20.51282051282051,,,2829.0,8.0,1640260.355787
sampling_gap,,,20.51282051282051,,,2830.0,8.0,1640527.907101
sampling_gap,,,20.51282051282051,,,2833.0,8.0,1640251.867746
sampling_gap,,,21.052631578947366,,,2835.0,8.0,1640354.917063
sampling_gap,,,23.25581395348837,,,2840.0,10.0,994390.616299
sampling_gap,,,21.052631578947366,,,2842.0,8.0,1640523.763005
sampling_gap,,,22.22222222222222,,,2847.0,8.0,1640265.143956
sampling_gap,,,22.22222222222222,,,2850.0,8.0,1640464.868568
sampling_gap,,,24.390243902439025,,,2872.0,10.0,1640348.80433
sampling_gap,,,23.809523809523807,,,2873.0,10.0,1640252.812971
sampling_gap,,,23.076923076923077,,,2876.0,9.0,1640355.771761
sampling_gap,,,21.052631578947366,,,2894.0,8.0,1640260.852521
sampling_gap,,,20.51282051282051,,,2896.0,8.0,1640402.530332
sampling_gap,,,28.205128205128204,,,2905.0,11.0,1640261.828131
sampling_gap,,,21.052631578947366,,,2906.0,8.0,1640358.016934
sampling_gap,,,21.052631578947366,,,2931.0,8.0,994420.297415
sampling_gap,,,20.51282051282051,,,2932.0,8.0,994416.927077
sampling_gap,,,21.62162162162162,,,2942.0,8.0,994416.406083
sampling_gap,,,21.052631578947366,,,2957.0,8.0,1640257.386231
sampling_gap,,,22.5,,,2976.0,9.0,994395.435586
sampling_gap,,,20.930232558139537,,,2998.0,9.0,994414.308698
sampling_gap,,,23.684210526315788,,,3006.0,9.0,1640256.072858
sampling_gap,,,20.930232558139537,,,3007.0,9.0,994421.832556
sampling_gap,,,25.0,,,3008.0,10.0,1640267.22509
sampling_gap,,,21.052631578947366,,,3014.0,8.0,1640357.197834
sampling_gap,,,21.951219512195124,,,3016.0,9.0,1640357.758943
sampling_gap,,,22.22222222222222,,,3019.0,8.0,1640259.528099
sampling_gap,,,21.052631578947366,,,3020.0,8.0,994417.197518
sampling_gap,,,22.5,,,3028.0,9.0,1640353.493193
sampling_gap,,,30.0,,,3046.0,12.0,1640401.638405
sampling_gap,,,23.076923076923077,,,3051.0,9.0,994414.259895
sampling_gap,,,24.390243902439025,,,3054.0,10.0,1640254.030408
sampling_gap,,,25.71428571428571,,,3055.0,9.0,1640396.993701
sampling_gap,,,21.428571428571427,,,3061.0,9.0,994392.841043
sampling_gap,,,21.052631578947366,,,3066.0,8.0,1640354.43924
sampling_gap,,,22.5,,,3067.0,9.0,1640266.088306
sampling_gap,,,21.21212121212121,,,3076.0,7.0,994417.325711
sampling_gap,,,25.0,,,3077.0,10.0,994396.401137
sampling_gap,,,22.22222222222222,,,3096.0,8.0,994417.652363
sampling_gap,,,25.71428571428571,,,3099.0,9.0,994398.186456
sampling_gap,,,24.324324324324326,,,3103.0,9.0,1640263.991926
sampling_gap,,,22.22222222222222,,,3112.0,8.0,994417.183501
sampling_gap,,,22.22222222222222,,,3118.0,8.0,994396.145191
sampling_gap,,,22.22222222222222,,,3131.0,8.0,1640352.651178
sampling_gap,,,25.0,,,3132.0,10.0,994390.697805
sampling_gap,,,23.684210526315788,,,3135.0,9.0,1640520.323186
sampling_gap,,,20.51282051282051,,,3152.0,8.0,994390.522144
sampling_gap,,,25.0,,,3155.0,9.0,1640356.668586
sampling_gap,,,21.951219512195124,,,3165.0,9.0,1640255.097601
sampling_gap,,,21.428571428571427,,,3168.0,9.0,1640357.589649
sampling_gap,,,21.951219512195124,,,3172.0,9.0,994393.519987
sampling_gap,,,20.930232558139537,,,3180.0,9.0,1640471.760311
sampling_gap,,,22.5,,,3181.0,9.0,1640267.245889
sampling_gap,,,23.076923076923077,,,3208.0,9.0,1640400.823881
sampling_gap,,,25.0,,,3224.0,8.0,1640258.793416
sampling_gap,,,21.052631578947366,,,3232.0,8.0,994423.565079
sampling_gap,,,23.25581395348837,,,3258.0,10.0,1640523.777589
sampling_gap,,,20.51282051282051,,,3261.0,8.0,1640522.704313
sampling_gap,,,20.51282051282051,,,3262.0,8.0,1640258.224793
sampling_gap,,,20.930232558139537,,,3274.0,9.0,1640403.731903
sampling_gap,,,21.428571428571427,,,3277.0,9.0,994416.112489
sampling_gap,,,20.588235294117645,,,3280.0,7.0,994416.218954
sampling_gap,,,21.62162162162162,,,3293.0,8.0,1640534.835503
sampling_gap,,,20.51282051282051,,,3300.0,8.0,994384.247979
sampling_gap,,,22.22222222222222,,,3305.0,8.0,1640359.431742
sampling_gap,,,21.052631578947366,,,3310.0,8.0,1640257.731176
sampling_gap,,,33.33333333333333,,,3317.0,13.0,994393.423652
sampling_gap,,,22.857142857142858,,,3319.0,8.0,1640266.316028
sampling_gap,,,25.71428571428571,,,3323.0,9.0,1640358.322715
sampling_gap,,,22.22222222222222,,,3326.0,8.0,994417.753826
sampling_gap,,,22.727272727272727,,,3331.0,10.0,1640263.983201
sampling_gap,,,22.22222222222222,,,3332.0,10.0,1640356.81189
sampling_gap,,,20.454545454545457,,,3336.0,9.0,994383.031418
sampling_gap,,,21.875,,,4716.0,7.0,1640355.007597
sampling_gap,,,34.375,,,5105.0,11.0,2.523082
sampling_gap,,,22.22222222222222,,,5119.0,8.0,994761.927807
sampling_gap,,,22.5,,,5238.0,9.0,994762.706781
sampling_gap,,,28.57142857142857,,,5659.0,10.0,994759.717208
sampling_gap,,,33.33333333333333,,,5869.0,11.0,2.056734
sampling_gap,,,28.125,,,5900.0,9.0,994765.570397
sampling_gap,,,23.52941176470588,,,5988.0,8.0,994768.445812
sampling_gap,,,25.71428571428571,,,6013.0,9.0,994766.971855
sampling_gap,,,23.52941176470588,,,6075.0,8.0,994767.184488
sampling_gap,,,25.0,,,6228.0,7.0,994762.980754
sampling_gap,,,20.689655172413794,,,6408.0,6.0,994763.410425
sampling_gap,,,27.27272727272727,,,6679.0,9.0,994761.233122
sampling_gap,,,31.57894736842105,,,6770.0,12.0,994756.783165
sampling_gap,,,20.588235294117645,,,6774.0,7.0,994758.210954
sampling_gap,,,25.925925925925924,,,7202.0,7.0,1.326509
sampling_gap,,,28.125,,,7319.0,9.0,994764.762714
sampling_gap,,,26.47058823529412,,,7610.0,9.0,994765.565295
sampling_gap,,,22.857142857142858,,,7693.0,8.0,1640357.21734
sampling_gap,,,36.36363636363637,,,7759.0,12.0,2635115.930881
sampling_gap,,,27.27272727272727,,,7851.0,9.0,1.518624
sampling_gap,,,20.689655172413794,,,8024.0,6.0,994762.653052
sampling_gap,,,25.0,,,8058.0,9.0,3.610319
sampling_gap,,,33.33333333333333,,,8099.0,9.0,2.916394
sampling_gap,,,21.62162162162162,,,8107.0,8.0,994757.580346
sampling_gap,,,31.03448275862069,,,8121.0,9.0,994762.944843
sampling_gap,,,29.03225806451613,,,8188.0,9.0,994765.899104
sampling_gap,,,21.21212121212121,,,8209.0,7.0,2.051597
sampling_gap,,,29.411764705882355,,,8212.0,10.0,994761.816868
sampling_gap,,,23.333333333333332,,,8237.0,7.0,994771.798749
sampling_gap,,,29.72972972972973,,,8240.0,11.0,7.120241
sampling_gap,,,25.71428571428571,,,8398.0,9.0,994762.611253
sampling_gap,,,22.58064516129032,,,8415.0,7.0,2.402714
sampling_gap,,,33.33333333333333,,,8450.0,12.0,1640357.269659
sampling_gap,,,24.137931034482758,,,8550.0,7.0,2.363064
sampling_gap,,,32.25806451612903,,,8582.0,10.0,1.611281
sampling_gap,,,23.52941176470588,,,8598.0,8.0,994758.874459
sampling_gap,,,33.33333333333333,,,8863.0,11.0,994761.34723
sampling_gap,,,23.684210526315788,,,8977.0,9.0,994760.517951
sampling_gap,,,21.62162162162162,,,9179.0,8.0,994755.584806
sampling_gap,,,22.22222222222222,,,9184.0,8.0,2635106.493884
sampling_gap,,,32.35294117647059,,,9258.0,11.0,994752.409007
sampling_gap,,,21.875,,,9334.0,7.0,994753.155516
sampling_gap,,,24.242424242424242,,,9372.0,8.0,994754.300063
sampling_gap,,,38.46153846153847,,,9412.0,10.0,3.462782
sampling_gap,,,29.629629629629626,,,9453.0,8.0,994762.892637
sampling_gap,,,26.666666666666668,,,9498.0,8.0,2.222439
sampling_gap,,,28.125,,,9618.0,9.0,994753.928915
sampling_gap,,,31.25,,,9620.0,10.0,994756.301447
sampling_gap,,,29.411764705882355,,,9623.0,10.0,994760.030153
sampling_gap,,,25.0,,,9758.0,8.0,1.988181
sampling_gap,,,36.11111111111111,,,9763.0,13.0,994756.61247
sampling_gap,,,24.242424242424242,,,9913.0,8.0,994758.632473
sampling_gap,,,27.586206896551722,,,10180.0,8.0,994759.304015
sampling_gap,,,21.428571428571427,,,10672.0,6.0,992408.035256
sampling_gap,,,22.857142857142858,,,10699.0,8.0,992960.034311
sampling_gap,,,20.454545454545457,,,29512.0,9.0,1094261.620875
sampling_gap,,,20.833333333333336,,,29561.0,10.0,1094262.671028
sampling_gap,,,22.0,,,30826.0,11.0,1094261.12487
sampling_gap,,,22.857142857142858,,,35595.0,8.0,1094274.237769
sampling_gap,,,21.27659574468085,,,35975.0,10.0,1094268.908944
sampling_gap,,,20.454545454545457,,,36485.0,9.0,1077960.798773
sampling_gap,,,21.73913043478261,,,36504.0,10.0,914827.589587
sampling_gap,,,20.833333333333336,,,36733.0,10.0,1094272.450665
sampling_gap,,,20.454545454545457,,,36806.0,9.0,1094270.280206
sampling_gap,,,20.930232558139537,,,37103.0,9.0,1094269.776397
sampling_gap,,,23.91304347826087,,,37167.0,11.0,1094269.650253
sampling_gap,,,30.555555555555557,,,37803.0,11.0,1094270.583806
sampling_gap,,,20.930232558139537,,,37901.0,9.0,1094267.218961
sampling_gap,,,23.404255319148938,,,38744.0,11.0,1094273.18784
sampling_gap,,,23.404255319148938,,,38854.0,11.0,1094269.8638
sampling_gap,,,22.727272727272727,,,39064.0,10.0,1094265.758348
sampling_gap,,,21.428571428571427,,,39641.0,9.0,1094272.378706
sampling_gap,,,25.0,,,44636.0,11.0,1094263.971694
sampling_gap,,,21.052631578947366,,,47647.0,8.0,1094271.967729
sampling_gap,,,22.22222222222222,,,50235.0,8.0,1085949.437847
sampling_gap,,,20.588235294117645,,,50247.0,7.0,1086278.087148
sampling_gap,,,21.62162162162162,,,50271.0,8.0,1086915.702252
sampling_gap,,,22.22222222222222,,,50325.0,8.0,1088451.119256
sampling_gap,,,20.689655172413794,,,51029.0,6.0,1094268.440568
sampling_gap,,,20.588235294117645,,,52165.0,7.0,1094265.944998
sampling_gap,,,20.454545454545457,,,53602.0,9.0,1094230.79228
sampling_gap,,,22.727272727272727,,,53974.0,10.0,1094260.015784
sampling_gap,,,24.444444444444443,,,53981.0,11.0,1094227.23329
sampling_gap,,,20.930232558139537,,,54663.0,9.0,1094198.43394
sampling_gap,,,21.052631578947366,,,54998.0,8.0,1094233.815141
sampling_gap,,,20.51282051282051,,,55165.0,8.0,1094199.681889
sampling_gap,,,20.930232558139537,,,55267.0,9.0,1094203.558234
sampling_gap,,,21.428571428571427,,,55540.0,6.0,1094217.134572
sampling_gap,,,22.22222222222222,,,55572.0,6.0,1094217.119586
sampling_gap,,,25.0,,,55589.0,5.0,1094096.076957
sampling_gap,,,39.285714285714285,,,55591.0,11.0,1094185.923314
sampling_gap,,,33.33333333333333,,,55592.0,8.0,1094186.080157
sampling_gap,,,24.0,,,55594.0,6.0,1094219.21705
sampling_gap,,,20.833333333333336,,,55596.0,5.0,1094278.550397
sampling_gap,,,22.727272727272727,,,55597.0,5.0,1094218.807383
sampling_gap,,,21.73913043478261,,,55600.0,5.0,1094218.961578
sampling_gap,,,27.27272727272727,,,55603.0,6.0,1094218.750991
sampling_gap,,,24.0,,,55604.0,6.0,1094219.669422
sampling_gap,,,23.076923076923077,,,55605.0,6.0,1094249.509931
sampling_gap,,,28.000000000000004,,,55607.0,7.0,1094249.728785
sampling_gap,,,22.22222222222222,,,55612.0,4.0,1094219.814611
sampling_gap,,,21.052631578947366,,,55622.0,4.0,1094219.399984
sampling_gap,,,21.052631578947366,,,55631.0,4.0,1094219.462067
sampling_gap,,,22.22222222222222,,,55632.0,4.0,1094219.139107
sampling_gap,,,23.809523809523807,,,55639.0,5.0,1094249.188776
sampling_gap,,,20.833333333333336,,,55640.0,5.0,1094219.181191
sampling_gap,,,20.833333333333336,,,55644.0,5.0,1094219.004496
sampling_gap,,,25.0,,,55649.0,4.0,1094219.01063
sampling_gap,,,28.57142857142857,,,55651.0,6.0,1094219.182791
sampling_gap,,,21.73913043478261,,,55654.0,5.0,1094218.905842
sampling_gap,,,21.73913043478261,,,55655.0,5.0,1094218.520651
sampling_gap,,,31.818181818181817,,,55656.0,7.0,1094219.030855
sampling_gap,,,21.73913043478261,,,55657.0,5.0,1094219.063024
sampling_gap,,,20.689655172413794,,,55659.0,6.0,1094218.738524
sampling_gap,,,22.727272727272727,,,55661.0,5.0,1094219.574541
sampling_gap,,,22.727272727272727,,,55663.0,5.0,1094278.482886
sampling_gap,,,22.22222222222222,,,55664.0,6.0,1094219.152058
sampling_gap,,,25.0,,,55673.0,6.0,1094219.318679
sampling_gap,,,22.727272727272727,,,55678.0,5.0,1094218.754421
sampling_gap,,,26.31578947368421,,,55679.0,5.0,1094219.662761
sampling_gap,,,21.052631578947366,,,55680.0,4.0,1094219.492136
sampling_gap,,,21.73913043478261,,,55684.0,5.0,1094218.689209
sampling_gap,,,21.73913043478261,,,55685.0,5.0,1094219.26893
sampling_gap,,,32.0,,,55686.0,8.0,1094219.173957
sampling_gap,,,25.0,,,55688.0,6.0,1094218.879382
sampling_gap,,,23.809523809523807,,,55689.0,5.0,1094218.63932
sampling_gap,,,22.727272727272727,,,55697.0,5.0,1094249.580136
sampling_gap,,,24.0,,,55699.0,6.0,1094219.271733
sampling_gap,,,21.73913043478261,,,55700.0,5.0,1094249.431322
sampling_gap,,,27.77777777777778,,,55709.0,5.0,1094219.248507
sampling_gap,,,22.22222222222222,,,55711.0,6.0,1094219.136292
sampling_gap,,,20.833333333333336,,,55712.0,5.0,1094218.975127
sampling_gap,,,25.0,,,55716.0,6.0,1094278.981793
sampling_gap,,,25.0,,,55720.0,6.0,1094218.768634
sampling_gap,,,26.08695652173913,,,55721.0,6.0,1094248.927527
sampling_gap,,,21.052631578947366,,,55722.0,4.0,1094278.149621
sampling_gap,,,24.0,,,55727.0,6.0,1094218.811818
sampling_gap,,,25.925925925925924,,,55734.0,7.0,1094219.589225
sampling_gap,,,34.78260869565217,,,55738.0,8.0,1094219.557192
sampling_gap,,,23.809523809523807,,,55740.0,5.0,1094249.560044
sampling_gap,,,32.0,,,55747.0,8.0,1094218.770741
sampling_gap,,,21.73913043478261,,,55748.0,5.0,1094219.579815
sampling_gap,,,23.809523809523807,,,55750.0,5.0,1094249.465882
sampling_gap,,,29.166666666666668,,,55753.0,7.0,1094218.818656
sampling_gap,,,22.727272727272727,,,55762.0,5.0,1094249.755867
sampling_gap,,,32.0,,,55769.0,8.0,1094219.444708
sampling_gap,,,28.57142857142857,,,55771.0,6.0,1094219.451685
sampling_gap,,,21.73913043478261,,,55777.0,5.0,1094218.6515
sampling_gap,,,22.727272727272727,,,55779.0,5.0,1094218.861476
sampling_gap,,,25.0,,,55780.0,6.0,1094249.124373
sampling_gap,,,23.076923076923077,,,55781.0,6.0,1094219.211555
sampling_gap,,,27.27272727272727,,,55782.0,6.0,1094218.732232
sampling_gap,,,20.833333333333336,,,55786.0,5.0,1094249.101546
sampling_gap,,,20.833333333333336,,,55788.0,5.0,1094219.200624
sampling_gap,,,22.22222222222222,,,55791.0,4.0,1094219.224809
sampling_gap,,,28.000000000000004,,,55792.0,7.0,1094219.585154
sampling_gap,,,26.31578947368421,,,55793.0,5.0,1094219.322438
sampling_gap,,,22.727272727272727,,,55795.0,5.0,1094249.177989
sampling_gap,,,22.727272727272727,,,55798.0,5.0,1094248.903631
sampling_gap,,,26.08695652173913,,,55800.0,6.0,1094278.829185
sampling_gap,,,22.22222222222222,,,55805.0,6.0,1094219.195548
sampling_gap,,,20.833333333333336,,,55806.0,5.0,1094249.50432
sampling_gap,,,25.925925925925924,,,55811.0,7.0,1094218.101162
sampling_gap,,,22.727272727272727,,,55812.0,5.0,1094219.719004
sampling_gap,,,26.31578947368421,,,55815.0,5.0,1094249.429691
sampling_gap,,,22.727272727272727,,,55816.0,5.0,1094219.504601
sampling_gap,,,22.22222222222222,,,55820.0,6.0,1094219.169449
sampling_gap,,,28.57142857142857,,,55821.0,6.0,1094249.515997
sampling_gap,,,21.73913043478261,,,55824.0,5.0,1094249.828811
sampling_gap,,,20.833333333333336,,,55831.0,5.0,1094219.60853
sampling_gap,,,22.22222222222222,,,55834.0,4.0,1094249.938458
sampling_gap,,,25.0,,,55835.0,5.0,1094249.169899
sampling_gap,,,26.08695652173913,,,55840.0,6.0,1094218.732453
sampling_gap,,,26.923076923076923,,,55841.0,7.0,1094218.720121
sampling_gap,,,23.52941176470588,,,55842.0,4.0,1094249.594607
sampling_gap,,,27.27272727272727,,,55846.0,6.0,1094219.414965
sampling_gap,,,21.73913043478261,,,55847.0,5.0,1094219.225888
sampling_gap,,,26.31578947368421,,,55851.0,5.0,1094249.5955
sampling_gap,,,26.923076923076923,,,55852.0,7.0,1094219.062661
sampling_gap,,,21.73913043478261,,,55853.0,5.0,1094218.832212
sampling_gap,,,29.166666666666668,,,55857.0,7.0,1094218.816784
sampling_gap,,,22.727272727272727,,,55858.0,5.0,1094219.208166
sampling_gap,,,28.000000000000004,,,55862.0,7.0,1094278.739797
sampling_gap,,,25.0,,,55869.0,5.0,1094219.088335
sampling_gap,,,23.809523809523807,,,55875.0,5.0,1094219.10554
sampling_gap,,,30.0,,,55876.0,6.0,1094249.440174
sampling_gap,,,25.0,,,55877.0,6.0,1094219.016973
sampling_gap,,,27.27272727272727,,,55882.0,6.0,1094218.762997
sampling_gap,,,21.052631578947366,,,55883.0,4.0,1094219.235022
sampling_gap,,,25.0,,,55884.0,7.0,1094219.494406
sampling_gap,,,20.833333333333336,,,55887.0,5.0,1094219.467322
sampling_gap,,,24.0,,,55888.0,6.0,1094218.994255
sampling_gap,,,26.31578947368421,,,55890.0,5.0,1094219.345101
sampling_gap,,,27.27272727272727,,,55892.0,6.0,1094219.404821
sampling_gap,,,23.809523809523807,,,55898.0,5.0,1094219.375527
sampling_gap,,,25.925925925925924,,,55900.0,7.0,1094218.883827
sampling_gap,,,22.22222222222222,,,55904.0,4.0,1094218.985943
sampling_gap,,,31.818181818181817,,,55910.0,7.0,1094219.147745
sampling_gap,,,25.0,,,55923.0,4.0,1094219.348124
sampling_gap,,,28.57142857142857,,,55927.0,4.0,1094219.35877
sampling_gap,,,21.052631578947366,,,55930.0,4.0,1094221.389127
sampling_gap,,,22.727272727272727,,,55933.0,5.0,1094249.529698
sampling_gap,,,36.0,,,55935.0,9.0,1094219.123705
sampling_gap,,,20.833333333333336,,,55943.0,5.0,1094219.265917
sampling_gap,,,23.809523809523807,,,55944.0,5.0,1094250.578715
sampling_gap,,,21.73913043478261,,,55946.0,5.0,1094218.950078
sampling_gap,,,26.08695652173913,,,55948.0,6.0,1094218.494682
sampling_gap,,,25.0,,,55963.0,5.0,1094221.292806
sampling_gap,,,33.33333333333333,,,55965.0,6.0,1094218.835332
sampling_gap,,,25.0,,,55971.0,5.0,1094220.877572
sampling_gap,,,21.73913043478261,,,55972.0,5.0,1094218.730719
sampling_gap,,,21.428571428571427,,,55978.0,3.0,1094218.780635
sampling_gap,,,22.22222222222222,,,55981.0,4.0,1094219.148112
sampling_gap,,,26.666666666666668,,,55982.0,4.0,1094219.321865
sampling_gap,,,25.0,,,55985.0,5.0,1094219.651598
sampling_gap,,,31.57894736842105,,,55991.0,6.0,1094219.037774
sampling_gap,,,21.428571428571427,,,55995.0,6.0,1094248.671317
sampling_gap,,,28.57142857142857,,,55998.0,6.0,1094248.872956
sampling_gap,,,23.076923076923077,,,56008.0,3.0,1094218.845184
sampling_gap,,,23.076923076923077,,,56009.0,3.0,1094218.912727
sampling_gap,,,22.727272727272727,,,56018.0,5.0,1094219.420153
sampling_gap,,,25.0,,,56019.0,3.0,1094221.549994
sampling_gap,,,33.33333333333333,,,56022.0,8.0,1094219.609134
sampling_gap,,,22.727272727272727,,,56027.0,5.0,1094219.839708
sampling_gap,,,33.33333333333333,,,56036.0,5.0,1094219.121247
sampling_gap,,,21.73913043478261,,,56043.0,5.0,1094219.046556
sampling_gap,,,22.22222222222222,,,56048.0,4.0,1094219.091252
sampling_gap,,,21.052631578947366,,,56056.0,4.0,1094219.01873
sampling_gap,,,22.22222222222222,,,56058.0,4.0,1094218.943653
sampling_gap,,,30.434782608695656,,,56062.0,7.0,1094218.873331
sampling_gap,,,21.052631578947366,,,56071.0,4.0,1094218.552679
sampling_gap,,,30.0,,,56072.0,6.0,1094221.053457
sampling_gap,,,26.08695652173913,,,56073.0,6.0,1094218.799639
sampling_gap,,,28.57142857142857,,,56076.0,4.0,1094219.256943
sampling_gap,,,27.77777777777778,,,56079.0,5.0,1094218.940222
sampling_gap,,,26.666666666666668,,,56080.0,4.0,1094219.684974
sampling_gap,,,22.22222222222222,,,56082.0,4.0,1094218.838809
sampling_gap,,,27.77777777777778,,,56083.0,5.0,1094220.721452
