case_id,activity,timestamp,resource,cooler_condition,valve_condition,pump_condition,accumulator_condition,stable_flag,load_temp,vibration,steady_state_temp,temp_stability,cooling_efficiency,cooling_power,final_temp,max_temp,temp_rise,warning_reason
Cycle_0004,Steady_State_Reached,2004-01-01 00:03:35,hydraulic_system,,,,,,,,39.121766666666666,0.21856451119876547,,,,,,
Cycle_0004,Cooling_Active,2004-01-01 00:03:30,cooler,,,,,,,,,,20.45981666666667,1.0621500000000001,,,,
Cycle_0004,Cycle_Complete,2004-01-01 00:04:00,hydraulic_system,,,,,,,,,,,,39.461,39.473,0.8279999999999959,
Cycle_0005,Cycle_Start,2004-01-01 00:04:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0005,Load_Application,2004-01-01 00:04:15,hydraulic_system,,,,,,39.1043,0.5522,,,,,,,,
Cycle_0005,Steady_State_Reached,2004-01-01 00:04:35,hydraulic_system,,,,,,,,40.0655,0.24679556316919424,,,,,,
Cycle_0005,Cooling_Active,2004-01-01 00:04:30,cooler,,,,,,,,,,19.787016666666673,1.0704666666666667,,,,
Cycle_0005,Cycle_Complete,2004-01-01 00:05:00,hydraulic_system,,,,,,,,,,,,40.391,40.391,0.9299999999999997,
Cycle_0006,Cycle_Start,2004-01-01 00:05:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0006,Load_Application,2004-01-01 00:05:15,hydraulic_system,,,,,,39.9848,0.5558000000000001,,,,,,,,
Cycle_0006,Steady_State_Reached,2004-01-01 00:05:35,hydraulic_system,,,,,,,,40.90829999999999,0.2398929136093855,,,,,,
Cycle_0006,Cooling_Active,2004-01-01 00:05:30,cooler,,,,,,,,,,19.149683333333336,1.072083333333333,,,,
Cycle_0006,Cycle_Complete,2004-01-01 00:06:00,hydraulic_system,,,,,,,,,,,,41.227,41.227,0.8289999999999935,
Cycle_0007,Cycle_Start,2004-01-01 00:06:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0007,Load_Application,2004-01-01 00:06:15,hydraulic_system,,,,,,40.7934,0.5533,,,,,,,,
Cycle_0007,Steady_State_Reached,2004-01-01 00:06:35,hydraulic_system,,,,,,,,41.6957,0.24657522854766517,,,,,,
Cycle_0007,Cooling_Active,2004-01-01 00:06:30,cooler,,,,,,,,,,18.666383333333332,1.0816833333333333,,,,
Cycle_0007,Cycle_Complete,2004-01-01 00:07:00,hydraulic_system,,,,,,,,,,,,42.062,42.062,0.8389999999999986,
Cycle_0008,Cycle_Start,2004-01-01 00:07:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0008,Load_Application,2004-01-01 00:07:15,hydraulic_system,,,,,,41.5676,0.5530000000000002,,,,,,,,
Cycle_0008,Steady_State_Reached,2004-01-01 00:07:35,hydraulic_system,,,,,,,,42.451766666666664,0.21991311668222288,,,,,,
Cycle_0008,Cooling_Active,2004-01-01 00:07:30,cooler,,,,,,,,,,18.17843333333333,1.0787,,,,
Cycle_0008,Cycle_Complete,2004-01-01 00:08:00,hydraulic_system,,,,,,,,,,,,42.73,42.734,0.6869999999999976,
Cycle_0009,Cycle_Start,2004-01-01 00:08:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0009,Load_Application,2004-01-01 00:08:15,hydraulic_system,,,,,,42.272200000000005,0.546,,,,,,,,
Cycle_0009,Steady_State_Reached,2004-01-01 00:08:35,hydraulic_system,,,,,,,,43.118,0.21096982406654005,,,,,,
Cycle_0009,Cooling_Active,2004-01-01 00:08:30,cooler,,,,,,,,,,18.334866666666667,1.1150833333333334,,,,
Cycle_0009,Cycle_Complete,2004-01-01 00:09:00,hydraulic_system,,,,,,,,,,,,43.395,43.41,0.6650000000000063,
Cycle_0010,Cycle_Start,2004-01-01 00:09:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0010,Load_Application,2004-01-01 00:09:15,hydraulic_system,,,,,,42.9057,0.5471,,,,,,,,
Cycle_0010,Steady_State_Reached,2004-01-01 00:09:35,hydraulic_system,,,,,,,,43.7498,0.2254521974462287,,,,,,
Cycle_0010,Cooling_Active,2004-01-01 00:09:30,cooler,,,,,,,,,,18.205733333333335,1.1291333333333333,,,,
Cycle_0010,Cycle_Complete,2004-01-01 00:10:00,hydraulic_system,,,,,,,,,,,,44.012,44.012,0.6330000000000027,
Cycle_0011,Cycle_Start,2004-01-01 00:10:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0011,Load_Application,2004-01-01 00:10:15,hydraulic_system,,,,,,43.517199999999995,0.5433000000000001,,,,,,,,
Cycle_0011,Steady_State_Reached,2004-01-01 00:10:35,hydraulic_system,,,,,,,,44.307233333333336,0.19142530019711448,,,,,,
Cycle_0011,Cooling_Active,2004-01-01 00:10:30,cooler,,,,,,,,,,18.112016666666666,1.1453500000000003,,,,
Cycle_0011,Cycle_Complete,2004-01-01 00:11:00,hydraulic_system,,,,,,,,,,,,44.566,44.582,0.5740000000000052,
Cycle_0012,Cycle_Start,2004-01-01 00:11:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0012,Load_Application,2004-01-01 00:11:15,hydraulic_system,,,,,,44.0643,0.5551,,,,,,,,
Cycle_0012,Steady_State_Reached,2004-01-01 00:11:35,hydraulic_system,,,,,,,,44.83626666666667,0.1908760388896997,,,,,,
Cycle_0012,Cooling_Active,2004-01-01 00:11:30,cooler,,,,,,,,,,18.06883333333333,1.1645833333333333,,,,
Cycle_0012,Cycle_Complete,2004-01-01 00:12:00,hydraulic_system,,,,,,,,,,,,45.09,45.09,0.4960000000000022,
Cycle_0013,Cycle_Start,2004-01-01 00:12:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0013,Load_Application,2004-01-01 00:12:15,hydraulic_system,,,,,,44.6237,0.5690999999999999,,,,,,,,
Cycle_0013,Steady_State_Reached,2004-01-01 00:12:35,hydraulic_system,,,,,,,,45.3415,0.20194747666988364,,,,,,
Cycle_0013,Cooling_Active,2004-01-01 00:12:30,cooler,,,,,,,,,,17.742283333333333,1.1629666666666665,,,,
Cycle_0013,Cycle_Complete,2004-01-01 00:13:00,hydraulic_system,,,,,,,,,,,,45.59,45.605,0.5080000000000027,
Cycle_0014,Cycle_Start,2004-01-01 00:13:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0014,Load_Application,2004-01-01 00:13:15,hydraulic_system,,,,,,45.0544,0.5717,,,,,,,,
Cycle_0014,Steady_State_Reached,2004-01-01 00:13:35,hydraulic_system,,,,,,,,45.820166666666665,0.2007318415753267,,,,,,
Cycle_0014,Cooling_Active,2004-01-01 00:13:30,cooler,,,,,,,,,,17.67815,1.1798999999999997,,,,
Cycle_0014,Cycle_Complete,2004-01-01 00:14:00,hydraulic_system,,,,,,,,,,,,46.082,46.082,0.5080000000000027,
Cycle_0015,Cycle_Start,2004-01-01 00:14:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0015,Load_Application,2004-01-01 00:14:15,hydraulic_system,,,,,,45.5494,0.5616,,,,,,,,
Cycle_0015,Steady_State_Reached,2004-01-01 00:14:35,hydraulic_system,,,,,,,,46.23913333333334,0.17320849350485729,,,,,,
Cycle_0015,Cooling_Active,2004-01-01 00:14:30,cooler,,,,,,,,,,17.778833333333335,1.2018666666666666,,,,
Cycle_0015,Cycle_Complete,2004-01-01 00:15:00,hydraulic_system,,,,,,,,,,,,46.414,46.434,0.42200000000000415,
Cycle_0016,Cycle_Start,2004-01-01 00:15:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0016,Load_Application,2004-01-01 00:15:15,hydraulic_system,,,,,,45.9293,0.5651,,,,,,,,
Cycle_0016,Steady_State_Reached,2004-01-01 00:15:35,hydraulic_system,,,,,,,,46.650600000000004,0.1952703425168979,,,,,,
Cycle_0016,Cooling_Active,2004-01-01 00:15:30,cooler,,,,,,,,,,17.692366666666665,1.2073833333333335,,,,
Cycle_0016,Cycle_Complete,2004-01-01 00:16:00,hydraulic_system,,,,,,,,,,,,46.766,46.867,0.3440000000000012,
Cycle_0017,Cycle_Start,2004-01-01 00:16:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0017,Load_Application,2004-01-01 00:16:15,hydraulic_system,,,,,,46.3133,0.5649,,,,,,,,
Cycle_0017,Steady_State_Reached,2004-01-01 00:16:35,hydraulic_system,,,,,,,,47.01623333333334,0.19760898821213094,,,,,,
Cycle_0017,Cooling_Active,2004-01-01 00:16:30,cooler,,,,,,,,,,17.72151666666667,1.219616666666667,,,,
Cycle_0017,Cycle_Complete,2004-01-01 00:17:00,hydraulic_system,,,,,,,,,,,,47.18,47.246,0.41799999999999926,
Cycle_0018,Cycle_Start,2004-01-01 00:17:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0018,Load_Application,2004-01-01 00:17:15,hydraulic_system,,,,,,46.651300000000006,0.5803,,,,,,,,
Cycle_0018,Steady_State_Reached,2004-01-01 00:17:35,hydraulic_system,,,,,,,,47.32716666666666,0.1908919560612471,,,,,,
Cycle_0018,Cooling_Active,2004-01-01 00:17:30,cooler,,,,,,,,,,17.820149999999998,1.2421833333333332,,,,
Cycle_0018,Cycle_Complete,2004-01-01 00:18:00,hydraulic_system,,,,,,,,,,,,47.437,47.531,0.23399999999999466,
Cycle_0019,Cycle_Start,2004-01-01 00:18:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0019,Load_Application,2004-01-01 00:18:15,hydraulic_system,,,,,,46.963800000000006,0.5860000000000001,,,,,,,,
Cycle_0019,Steady_State_Reached,2004-01-01 00:18:35,hydraulic_system,,,,,,,,47.634066666666676,0.1800375763247462,,,,,,
Cycle_0019,Cooling_Active,2004-01-01 00:18:30,cooler,,,,,,,,,,17.555983333333337,1.2353166666666666,,,,
Cycle_0019,Cycle_Complete,2004-01-01 00:19:00,hydraulic_system,,,,,,,,,,,,47.84,47.855,0.38700000000000045,
Cycle_0020,Cycle_Start,2004-01-01 00:19:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0020,Load_Application,2004-01-01 00:19:15,hydraulic_system,,,,,,47.25619999999999,0.5862,,,,,,,,
Cycle_0020,Steady_State_Reached,2004-01-01 00:19:35,hydraulic_system,,,,,,,,47.910700000000006,0.1783134225645024,,,,,,
Cycle_0020,Cooling_Active,2004-01-01 00:19:30,cooler,,,,,,,,,,17.66436666666667,1.2561166666666668,,,,
Cycle_0020,Cycle_Complete,2004-01-01 00:20:00,hydraulic_system,,,,,,,,,,,,48.023,48.109,0.2610000000000028,
Cycle_0021,Cycle_Start,2004-01-01 00:20:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0021,Load_Application,2004-01-01 00:20:15,hydraulic_system,,,,,,47.5433,0.5932000000000001,,,,,,,,
Cycle_0021,Steady_State_Reached,2004-01-01 00:20:35,hydraulic_system,,,,,,,,48.191266666666664,0.1887460257123911,,,,,,
Cycle_0021,Cooling_Active,2004-01-01 00:20:30,cooler,,,,,,,,,,17.734166666666667,1.2668833333333331,,,,
Cycle_0021,Cycle_Complete,2004-01-01 00:21:00,hydraulic_system,,,,,,,,,,,,48.32,48.453,0.29299999999999926,
Cycle_0022,Cycle_Start,2004-01-01 00:21:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0022,Load_Application,2004-01-01 00:21:15,hydraulic_system,,,,,,47.8048,0.6127999999999999,,,,,,,,
Cycle_0022,Steady_State_Reached,2004-01-01 00:21:35,hydraulic_system,,,,,,,,48.423966666666665,0.1556893238329312,,,,,,
Cycle_0022,Cooling_Active,2004-01-01 00:21:30,cooler,,,,,,,,,,17.942616666666666,1.2905000000000004,,,,
Cycle_0022,Cycle_Complete,2004-01-01 00:22:00,hydraulic_system,,,,,,,,,,,,48.531,48.625,0.19500000000000028,
Cycle_0023,Cycle_Start,2004-01-01 00:22:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0023,Load_Application,2004-01-01 00:22:15,hydraulic_system,,,,,,48.0373,0.6025999999999999,,,,,,,,
Cycle_0023,Steady_State_Reached,2004-01-01 00:22:35,hydraulic_system,,,,,,,,48.6537,0.15909308595913235,,,,,,
Cycle_0023,Cooling_Active,2004-01-01 00:22:30,cooler,,,,,,,,,,17.95565,1.2976833333333333,,,,
Cycle_0023,Cycle_Complete,2004-01-01 00:23:00,hydraulic_system,,,,,,,,,,,,48.777,48.879,0.24200000000000443,
Cycle_0024,Cycle_Start,2004-01-01 00:23:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0024,Load_Application,2004-01-01 00:23:15,hydraulic_system,,,,,,48.2675,0.6079,,,,,,,,
Cycle_0024,Steady_State_Reached,2004-01-01 00:23:35,hydraulic_system,,,,,,,,48.85793333333334,0.1485128352103689,,,,,,
Cycle_0024,Cooling_Active,2004-01-01 00:23:30,cooler,,,,,,,,,,17.929516666666668,1.302283333333333,,,,
Cycle_0024,Cycle_Complete,2004-01-01 00:24:00,hydraulic_system,,,,,,,,,,,,48.961,49.043,0.17199999999999704,
Cycle_0025,Cycle_Start,2004-01-01 00:24:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0025,Load_Application,2004-01-01 00:24:15,hydraulic_system,,,,,,48.4786,0.6228,,,,,,,,
Cycle_0025,Steady_State_Reached,2004-01-01 00:24:35,hydraulic_system,,,,,,,,49.08033333333333,0.15818519385693308,,,,,,
Cycle_0025,Cooling_Active,2004-01-01 00:24:30,cooler,,,,,,,,,,17.960766666666668,1.310466666666667,,,,
Cycle_0025,Cycle_Complete,2004-01-01 00:25:00,hydraulic_system,,,,,,,,,,,,49.109,49.293,0.15200000000000102,
Cycle_0026,Cycle_Start,2004-01-01 00:25:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0026,Load_Application,2004-01-01 00:25:15,hydraulic_system,,,,,,48.673899999999996,0.6176999999999999,,,,,,,,
Cycle_0026,Steady_State_Reached,2004-01-01 00:25:35,hydraulic_system,,,,,,,,49.248599999999996,0.16515439241307903,,,,,,
Cycle_0026,Cooling_Active,2004-01-01 00:25:30,cooler,,,,,,,,,,18.28901666666666,1.3448,,,,
Cycle_0026,Cycle_Complete,2004-01-01 00:26:00,hydraulic_system,,,,,,,,,,,,49.332,49.453,0.2150000000000034,
Cycle_0027,Cycle_Start,2004-01-01 00:26:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0027,Load_Application,2004-01-01 00:26:15,hydraulic_system,,,,,,48.875699999999995,0.6215999999999999,,,,,,,,
Cycle_0027,Steady_State_Reached,2004-01-01 00:26:35,hydraulic_system,,,,,,,,49.464000000000006,0.17170595019781137,,,,,,
Cycle_0027,Cooling_Active,2004-01-01 00:26:30,cooler,,,,,,,,,,18.268216666666664,1.3485833333333335,,,,
Cycle_0027,Cycle_Complete,2004-01-01 00:27:00,hydraulic_system,,,,,,,,,,,,49.598,49.629,0.26599999999999824,
Cycle_0028,Cycle_Start,2004-01-01 00:27:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0028,Load_Application,2004-01-01 00:27:15,hydraulic_system,,,,,,49.0803,0.6091000000000001,,,,,,,,
Cycle_0028,Steady_State_Reached,2004-01-01 00:27:35,hydraulic_system,,,,,,,,49.63453333333333,0.13933502391318936,,,,,,
Cycle_0028,Cooling_Active,2004-01-01 00:27:30,cooler,,,,,,,,,,18.646099999999997,1.3834166666666663,,,,
Cycle_0028,Cycle_Complete,2004-01-01 00:28:00,hydraulic_system,,,,,,,,,,,,49.758,49.773,0.1560000000000059,
Cycle_0029,Cycle_Start,2004-01-01 00:28:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0029,Load_Application,2004-01-01 00:28:15,hydraulic_system,,,,,,49.212,0.6262000000000001,,,,,,,,
Cycle_0029,Steady_State_Reached,2004-01-01 00:28:35,hydraulic_system,,,,,,,,49.824,0.17280721435557397,,,,,,
Cycle_0029,Cooling_Active,2004-01-01 00:28:30,cooler,,,,,,,,,,18.25821666666667,1.3594166666666667,,,,
Cycle_0029,Cycle_Complete,2004-01-01 00:29:00,hydraulic_system,,,,,,,,,,,,49.875,50.012,0.1559999999999988,
Cycle_0030,Cycle_Start,2004-01-01 00:29:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0030,Load_Application,2004-01-01 00:29:15,hydraulic_system,,,,,,49.3875,0.6224999999999999,,,,,,,,
Cycle_0030,Steady_State_Reached,2004-01-01 00:29:35,hydraulic_system,,,,,,,,49.98063333333334,0.15903007751854797,,,,,,
Cycle_0030,Cooling_Active,2004-01-01 00:29:30,cooler,,,,,,,,,,18.43156666666666,1.3755666666666668,,,,
Cycle_0030,Cycle_Warning,2004-01-01 00:30:00,hydraulic_system,,,,,,,,,,,,50.008,50.16,0.13300000000000267,abnormal_temperature
Cycle_0031,Cycle_Start,2004-01-01 00:30:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0031,Load_Application,2004-01-01 00:30:15,hydraulic_system,,,,,,49.5243,0.6267,,,,,,,,
Cycle_0031,Steady_State_Reached,2004-01-01 00:30:35,hydraulic_system,,,,,,,,50.071433333333324,0.13485292811882896,,,,,,
Cycle_0031,Cooling_Active,2004-01-01 00:30:30,cooler,,,,,,,,,,18.577850000000005,1.3909333333333331,,,,
Cycle_0031,Cycle_Warning,2004-01-01 00:31:00,hydraulic_system,,,,,,,,,,,,50.133,50.223,0.13700000000000045,abnormal_temperature
Cycle_0032,Cycle_Start,2004-01-01 00:31:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0032,Load_Application,2004-01-01 00:31:15,hydraulic_system,,,,,,49.631299999999996,0.6113,,,,,,,,
Cycle_0032,Steady_State_Reached,2004-01-01 00:31:35,hydraulic_system,,,,,,,,50.1857,0.15788564427036036,,,,,,
Cycle_0032,Cooling_Active,2004-01-01 00:31:30,cooler,,,,,,,,,,18.483833333333337,1.3873000000000002,,,,
Cycle_0032,Cycle_Warning,2004-01-01 00:32:00,hydraulic_system,,,,,,,,,,,,50.207,50.383,0.07399999999999807,abnormal_temperature
Cycle_0033,Cycle_Start,2004-01-01 00:32:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0033,Load_Application,2004-01-01 00:32:15,hydraulic_system,,,,,,49.7536,0.6144000000000001,,,,,,,,
Cycle_0033,Steady_State_Reached,2004-01-01 00:32:35,hydraulic_system,,,,,,,,50.31023333333333,0.13690938203384379,,,,,,
Cycle_0033,Cooling_Active,2004-01-01 00:32:30,cooler,,,,,,,,,,18.74293333333333,1.4084666666666665,,,,
Cycle_0033,Cycle_Warning,2004-01-01 00:33:00,hydraulic_system,,,,,,,,,,,,50.367,50.473,0.16799999999999926,abnormal_temperature
Cycle_0034,Cycle_Start,2004-01-01 00:33:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0034,Load_Application,2004-01-01 00:33:15,hydraulic_system,,,,,,49.876999999999995,0.6213,,,,,,,,
Cycle_0034,Steady_State_Reached,2004-01-01 00:33:35,hydraulic_system,,,,,,,,50.41509999999999,0.14889511968720387,,,,,,
Cycle_0034,Cooling_Active,2004-01-01 00:33:30,cooler,,,,,,,,,,18.705316666666665,1.411616666666667,,,,
Cycle_0034,Cycle_Warning,2004-01-01 00:34:00,hydraulic_system,,,,,,,,,,,,50.543,50.578,0.16400000000000148,abnormal_temperature
Cycle_0035,Cycle_Start,2004-01-01 00:34:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0035,Load_Application,2004-01-01 00:34:15,hydraulic_system,,,,,,50.0028,0.6466999999999999,,,,,,,,
Cycle_0035,Steady_State_Reached,2004-01-01 00:34:35,hydraulic_system,,,,,,,,50.520099999999985,0.1306545955308626,,,,,,
Cycle_0035,Cooling_Active,2004-01-01 00:34:30,cooler,,,,,,,,,,18.63385,1.4061333333333335,,,,
Cycle_0035,Cycle_Warning,2004-01-01 00:35:00,hydraulic_system,,,,,,,,,,,,50.516,50.703,0.07900000000000063,abnormal_temperature
Cycle_0036,Cycle_Start,2004-01-01 00:35:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0036,Load_Application,2004-01-01 00:35:15,hydraulic_system,,,,,,50.0872,0.6323,,,,,,,,
Cycle_0036,Steady_State_Reached,2004-01-01 00:35:35,hydraulic_system,,,,,,,,50.64656666666667,0.14219064276136006,,,,,,
Cycle_0036,Cooling_Active,2004-01-01 00:35:30,cooler,,,,,,,,,,18.90718333333333,1.4286666666666668,,,,
Cycle_0036,Cycle_Warning,2004-01-01 00:36:00,hydraulic_system,,,,,,,,,,,,50.699,50.797,0.16799999999999926,abnormal_temperature
Cycle_0037,Cycle_Start,2004-01-01 00:36:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0037,Load_Application,2004-01-01 00:36:15,hydraulic_system,,,,,,50.1749,0.6403000000000001,,,,,,,,
Cycle_0037,Steady_State_Reached,2004-01-01 00:36:35,hydraulic_system,,,,,,,,50.7336,0.14504243057349353,,,,,,
Cycle_0037,Cooling_Active,2004-01-01 00:36:30,cooler,,,,,,,,,,18.781366666666663,1.4208166666666666,,,,
Cycle_0037,Cycle_Warning,2004-01-01 00:37:00,hydraulic_system,,,,,,,,,,,,50.781,50.879,0.14799999999999613,abnormal_temperature
Cycle_0038,Cycle_Start,2004-01-01 00:37:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0038,Load_Application,2004-01-01 00:37:15,hydraulic_system,,,,,,50.2846,0.6286,,,,,,,,
Cycle_0038,Steady_State_Reached,2004-01-01 00:37:35,hydraulic_system,,,,,,,,50.809400000000004,0.16591013631883217,,,,,,
Cycle_0038,Cooling_Active,2004-01-01 00:37:30,cooler,,,,,,,,,,18.718599999999995,1.4174,,,,
Cycle_0038,Cycle_Warning,2004-01-01 00:38:00,hydraulic_system,,,,,,,,,,,,50.832,51.008,0.035000000000003695,abnormal_temperature
Cycle_0039,Cycle_Start,2004-01-01 00:38:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0039,Load_Application,2004-01-01 00:38:15,hydraulic_system,,,,,,50.3297,0.6508,,,,,,,,
Cycle_0039,Steady_State_Reached,2004-01-01 00:38:35,hydraulic_system,,,,,,,,50.856399999999994,0.1420644454698887,,,,,,
Cycle_0039,Cooling_Active,2004-01-01 00:38:30,cooler,,,,,,,,,,18.847166666666666,1.43355,,,,
Cycle_0039,Cycle_Warning,2004-01-01 00:39:00,hydraulic_system,,,,,,,,,,,,50.871,51.023,0.030999999999998806,abnormal_temperature
Cycle_0040,Cycle_Start,2004-01-01 00:39:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0040,Load_Application,2004-01-01 00:39:15,hydraulic_system,,,,,,50.4319,0.6146,,,,,,,,
Cycle_0040,Steady_State_Reached,2004-01-01 00:39:35,hydraulic_system,,,,,,,,50.94776666666667,0.1283928044020462,,,,,,
Cycle_0040,Cooling_Active,2004-01-01 00:39:30,cooler,,,,,,,,,,19.208066666666664,1.46255,,,,
Cycle_0040,Cycle_Warning,2004-01-01 00:40:00,hydraulic_system,,,,,,,,,,,,51.031,51.129,0.15200000000000102,abnormal_temperature
Cycle_0041,Cycle_Start,2004-01-01 00:40:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0041,Load_Application,2004-01-01 00:40:15,hydraulic_system,,,,,,50.51039999999999,0.6207999999999998,,,,,,,,
Cycle_0041,Steady_State_Reached,2004-01-01 00:40:35,hydraulic_system,,,,,,,,51.056866666666664,0.1403031796582749,,,,,,
Cycle_0041,Cooling_Active,2004-01-01 00:40:30,cooler,,,,,,,,,,19.655400000000004,1.5034166666666666,,,,
Cycle_0041,Cycle_Warning,2004-01-01 00:41:00,hydraulic_system,,,,,,,,,,,,51.062,51.223,0.0969999999999942,abnormal_temperature
Cycle_0042,Cycle_Start,2004-01-01 00:41:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0042,Load_Application,2004-01-01 00:41:15,hydraulic_system,,,,,,50.58970000000001,0.6325,,,,,,,,
Cycle_0042,Steady_State_Reached,2004-01-01 00:41:35,hydraulic_system,,,,,,,,51.108666666666664,0.13985476593793825,,,,,,
Cycle_0042,Cooling_Active,2004-01-01 00:41:30,cooler,,,,,,,,,,19.023150000000005,1.45795,,,,
Cycle_0042,Cycle_Warning,2004-01-01 00:42:00,hydraulic_system,,,,,,,,,,,,51.223,51.301,0.17199999999999704,abnormal_temperature
